# GMM n=4 pocket classification, T=25C
# Classes: S1_pocket, S3_pocket, surface, extended
# frame  chi2  chi2_state  wcn  d_S1  d_S3  M  dist_nm  Q_p  class
112  76.04  1  0.855468  6.331  10.782  0.129945  0.897919  -0.012948  surface
113  88.01  1  0.875681  6.847  10.498  0.234340  0.861451  -0.025184  surface
114  82.10  1  0.856583  6.335  10.673  0.156511  0.909143  -0.007153  surface
115  97.01  1  0.862321  6.609  11.001  0.169023  0.861463  -0.008462  surface
116  84.67  1  0.878854  6.626  10.702  0.130596  0.860824  -0.020032  surface
117  102.40  1  0.842182  6.915  11.177  0.195686  0.890548  -0.016346  surface
118  86.30  1  0.868003  6.608  11.309  0.186533  0.916973  -0.021936  surface
119  100.78  1  0.844516  6.641  10.403  0.074185  0.874546  -0.021931  surface
120  87.94  1  0.879796  6.881  10.541  0.051199  0.873512  -0.020125  surface
121  90.22  1  0.853948  6.504  11.053  0.097835  0.909579  -0.022235  surface
122  87.04  1  0.854961  6.208  10.569  0.159947  0.867290  -0.027351  surface
123  97.46  1  0.891443  6.486  10.295  0.129022  0.842069  -0.029536  surface
124  75.20  1  0.847366  6.318  11.399  0.119075  0.927387  -0.012823  surface
125  92.42  1  0.856394  6.982  11.970  0.146525  0.991743  -0.019984  surface
126  86.51  1  0.854460  6.454  10.828  0.038332  0.925703  -0.010678  surface
127  88.74  1  0.860806  6.609  11.748  0.167987  0.931364  -0.013725  surface
128  85.72  1  0.869995  6.596  10.078  -0.132045  0.907677  -0.027735  surface
129  94.58  1  0.858000  6.768  10.859  -0.019273  0.982088  -0.014435  surface
130  90.31  1  0.855662  6.727  10.389  -0.084855  0.936082  -0.009052  surface
131  89.68  1  0.848548  6.429  11.431  0.073402  0.973640  -0.010667  surface
132  86.22  1  0.844566  6.529  10.779  -0.001399  0.975231  0.002721  surface
133  92.42  1  0.849296  7.054  11.851  0.087246  1.010265  -0.007530  surface
134  83.33  1  0.850482  6.866  10.872  -0.014937  0.923145  -0.010617  surface
135  58.37  1  0.808203  6.678  10.872  -0.404336  1.075307  -0.000873  S1_pocket
136  82.46  1  0.767703  6.563  12.068  -0.075211  1.112818  -0.000543  surface
137  94.85  1  0.804872  6.575  12.194  0.243993  1.038724  -0.012635  surface
138  73.70  1  0.765199  5.868  11.027  -0.538519  1.183802  -0.003590  S1_pocket
139  87.31  1  0.808271  6.219  12.536  0.376390  1.031947  -0.005109  surface
140  73.35  1  0.839539  6.647  10.804  -0.021967  0.988488  -0.006613  surface
141  76.91  1  0.827332  7.319  11.318  0.002542  0.952064  -0.017170  surface
142  78.17  1  0.846127  7.369  10.590  -0.059426  0.940645  -0.008996  surface
143  93.75  1  0.825408  7.241  10.697  0.087518  0.906023  -0.015049  surface
144  96.01  1  0.829618  6.776  11.465  0.079013  0.985893  -0.008844  surface
145  111.49  1  0.879458  6.734  10.532  0.049408  0.905570  -0.012011  surface
146  95.43  1  0.801512  6.118  11.289  -0.194225  1.038605  -0.003975  surface
147  88.00  1  0.757908  5.810  12.353  -0.567679  1.212239  -0.003531  S1_pocket
148  49.51  0  0.737956  5.686  12.016  -0.643330  1.183602  -0.004999  S1_pocket
